subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source_version	object_source_version	mapping_tool	mapping_tool_id	mapping_tool_version	mapping_date	confidence
icd10:P94.0	Transient neonatal myasthenia gravis	skos:closeMatch	mesh:D020941	Myasthenia Gravis, Neonatal	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:K74.3	Primary biliary cirrhosis	skos:closeMatch	mesh:D008105	Liver Cirrhosis, Biliary	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:M94.2	Chondromalacia	skos:closeMatch	mesh:D002357	Cartilage Diseases	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:D51.9	Vitamin B	skos:closeMatch	mesh:D014803	Vitamin B Complex	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:Q81.1	Epidermolysis bullosa letalis	skos:closeMatch	mesh:D016109	Epidermolysis Bullosa, Junctional	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:H34.1	Central retinal artery occlusion	skos:closeMatch	mesh:D015356	Retinal Artery Occlusion	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:H04.0	Dacryoadenitis	skos:closeMatch	mesh:D003607	Dacryocystitis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:C86.0	Extranodal NK/T-cell lymphoma, nasal type	skos:closeMatch	mesh:D054391	Lymphoma, Extranodal NK-T-Cell	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:L64	Androgenic alopecia	skos:closeMatch	mesh:D000505	Alopecia	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:L28.0	Lichen simplex chronicus	skos:closeMatch	mesh:D009450	Neurodermatitis	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:L41.0	Pityriasis lichenoides et varioliformis acuta	skos:closeMatch	mesh:D017514	Pityriasis Lichenoides	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:J43.1	Panlobular emphysema	skos:closeMatch	mesh:D011656	Pulmonary Emphysema	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
icd10:F51.5	Nightmares	skos:closeMatch	mesh:D004325	Dreams	semapv:LexicalMatching	2019	2025	https://github.com/gyorilab/mapnet/blob/main/scripts/generate_leonmap_mesh_icd10_mapping.py	leonmap	0.1.0	2026-07-31	1.0
